ID,TIME,DV,MDV,GRP
1,7,22.3,0,0
1,9,48.2,0,0
1,11,145.1,0,0
1,13,280.9,0,0
1,15,535.7,0,0
1,17,675.4,0,0
1,19,985.8,0,0
1,21,1690.6,0,0
2,7,70.4,0,0
2,9,197.3,0,0
2,11,374.7,0,0
2,13,664.8,0,0
2,15,1084.4,0,0
2,17,1556.1,0,0
2,19,2169.3,0,0
2,21,2927.9,0,0
3,7,100,0,0
3,9,256.6,0,0
3,11,489.9,0,0
3,13,633.8,0,0
3,15,1028.5,0,0
3,17,1479.8,0,0
3,19,1515.3,0,0
3,21,2094.7,0,0
4,7,39.2,0,0
4,9,164.9,0,0
4,11,222.1,0,0
4,13,455.6,0,0
4,15,826.7,0,0
4,17,961.2,0,0
4,19,1452.4,0,0
4,21,2281.4,0,0
5,7,11.7,0,0
5,9,35.2,0,0
5,11,182.3,0,0
5,13,386.7,0,0
5,15,429.2,0,0
5,17,705.6,0,0
5,19,932.5,0,0
5,21,1369.3,0,0
6,7,13.5,0,0
6,9,1,0,0
6,11,10.9,0,0
6,13,40,0,0
6,15,172.5,0,0
6,17,208.6,0,0
6,19,291.4,0,0
6,21,402.1,0,0
7,7,5.5,0,0
7,9,1,0,0
7,11,156.1,0,0
7,13,195,0,0
7,15,381.9,0,0
7,17,650.2,0,0
7,19,935.6,0,0
7,21,1278.8,0,0
8,7,29.8,0,0
8,9,133,0,0
8,11,274.3,0,0
8,13,494.5,0,0
8,15,716.6,0,0
8,17,889.8,0,0
8,19,1532.2,0,0
8,21,2140.7,0,0
9,7,125.5,0,0
9,9,119.6,0,0
9,11,339.9,0,0
9,13,495,0,0
9,15,826.4,0,0
9,17,1101.7,0,0
9,19,1661.6,0,0
9,21,2199.8,0,0
10,7,24.7,0,0
10,9,5.2,0,0
10,11,66.6,0,0
10,13,143.1,0,0
10,15,215.8,0,0
10,17,306.3,0,0
10,19,451.5,0,0
10,21,774.9,0,0
11,7,19.3,0,0
11,9,56.4,0,0
11,11,203.5,0,0
11,13,280.1,0,0
11,15,497.9,0,0
11,17,965.3,0,0
11,19,1181.8,0,0
11,21,1671.2,0,0
12,7,32.3,0,0
12,9,51.3,0,0
12,11,60.6,0,0
12,13,43.1,0,0
12,15,145.9,0,0
12,17,251.1,0,0
12,19,395.1,0,0
12,21,679.3,0,0
13,7,42.3,0,0
13,9,117.1,0,0
13,11,202.1,0,0
13,13,330.2,0,0
13,15,457.4,0,0
13,17,861.5,0,0
13,19,1515,0,0
13,21,2408.1,0,0
14,7,120.9,0,0
14,9,167.4,0,0
14,11,279.2,0,0
14,13,522.7,0,0
14,15,746.9,0,0
14,17,990,0,0
14,19,1470,0,0
14,21,1583.3,0,0
15,7,123.6,0,0
15,9,142.8,0,0
15,11,250,0,0
15,13,417.3,0,0
15,15,767.2,0,0
15,17,1122.3,0,0
15,19,1802.3,0,0
15,21,2306.4,0,0
16,7,57.9,0,0
16,9,146.5,0,0
16,11,219.4,0,0
16,13,412.7,0,0
16,15,656.4,0,0
16,17,969,0,0
16,19,1486.9,0,0
16,21,1606.4,0,0
17,7,84.8,0,0
17,9,167,0,0
17,11,318.9,0,0
17,13,613.3,0,0
17,15,996.4,0,0
17,17,1470.9,0,0
17,19,2084.4,0,0
17,21,2553.8,0,0
18,7,126.1,0,0
18,9,295.1,0,0
18,11,442.8,0,0
18,13,709.1,0,0
18,15,1197.7,0,0
18,17,1464.7,0,0
18,19,2050.7,0,0
18,21,2601.1,0,0
19,7,30.4,0,0
19,9,218.8,0,0
19,11,381.5,0,0
19,13,440.8,0,0
19,15,810.8,0,0
19,17,1058.2,0,0
19,19,1116.2,0,0
19,21,1764.1,0,0
20,7,39.1,0,0
20,9,39.2,0,0
20,11,100.1,0,0
20,13,314.8,0,0
20,15,372.5,0,0
20,17,661,0,0
20,19,819.2,0,0
20,21,1332.9,0,0
21,7,168.8,0,1
21,9,183.7,0,1
21,11,306.1,0,1
21,13,378.1,0,1
21,15,412.1,0,1
21,17,528.1,0,1
21,19,651.7,0,1
21,21,622.4,0,1
22,7,56.9,0,1
22,9,140.1,0,1
22,11,244.3,0,1
22,13,129.7,0,1
22,15,389.7,0,1
22,17,360.6,0,1
22,19,489.5,0,1
22,21,595.7,0,1
23,7,134.6,0,1
23,9,164.4,0,1
23,11,168.7,0,1
23,13,186.9,0,1
23,15,260.5,0,1
23,17,366.9,0,1
23,19,406.9,0,1
23,21,383.7,0,1
24,7,3.6,0,1
24,9,80.2,0,1
24,11,43,0,1
24,13,134,0,1
24,15,178.1,0,1
24,17,141.4,0,1
