REP,OFV,T1,T2,T3,T4,T5,T6,O11,O21,O22,NOBS,NUNIQ,TERM
1,551.64766902725,0.0071176,1.53388,2.25716,0.0562566,1.13136,0.940554,0.0539354,0.0292812,0.0198907,149,39,SUCCESS
2,472.527874308371,0.00803297,1.55305,1.14389e-15,0.114614,1.12934,1.15625,0.0543912,0.0220567,0.00894444,153,34,TERMINATED
3,578.201714269176,0.00780333,1.56139,3.1815,9.05342e-07,1.4243,0.966203,0.0815339,0.024119,0.0071348,151,32,SUCCESS
4,513.372811572347,0.00711244,1.47631,0.000120195,0.100623,1.04492,0.819707,0.0236519,0.0193817,0.0263046,143,35,SUCCESS
5,532.375351837489,0.00726551,1.55543,1.40769,0.0767797,1.20865,0.998225,0.0163681,0.0223161,0.032139,151,34,SUCCESS
6,524.783075568542,0.00681927,1.43421,1.64628,0.0902838,1.20195,0.745191,0.0111731,0.0138603,0.0171938,145,35,SUCCESS
7,552.922577401333,0.00783171,1.46924,0.455655,0.105928,0.977981,0.970675,0.0109979,0.0202602,0.0373232,150,35,SUCCESS
8,546.480441321093,0.00773205,1.51474,1.40845e-05,0.109143,0.960851,0.995642,0.0146506,0.0035278,0.0235254,152,32,SUCCESS
9,508.318105504127,0.00649895,1.46328,1.77655,0.0724072,0.947672,0.843834,0.0576919,0.0275098,0.0131178,147,38,ROUNDING
10,510.626819488467,0.00702601,1.48871,2.13599,0.033574,1.2208,0.886359,0.0170798,0.0162498,0.0154602,152,40,SUCCESS
11,612.631630759308,0.00744872,1.50183,1.72551,0.0879945,1.24238,1.02894,0.0365393,0.030533,0.0367161,158,36,SUCCESS
12,586.539619744292,0.00750104,1.50974,1.32426,0.0959936,1.22711,1.02348,0.0450471,0.0241933,0.0270909,157,35,SUCCESS
13,574.772402838723,0.0076749,1.5126,2.97955,0.000303028,1.11861,0.935808,0.06329,0.0338382,0.0180917,148,33,SUCCESS
14,657.772348787361,0.00768287,1.52571,3.14702,0.000404831,1.30779,0.777606,0.0367108,0.0299986,0.0245137,169,35,SUCCESS
15,592.489796002521,0.00744979,1.4493,2.33575,0.0745473,0.956141,0.875617,0.0424091,0.0231725,0.0126615,155,37,SUCCESS
16,551.379726060923,0.00674457,1.50086,2.39847,9.95234e-05,1.52539,0.768026,0.0343255,0.0197851,0.011404,163,39,SUCCESS
17,559.73035516628,0.0073099,1.43394,1.73917,0.0904883,0.965953,0.922696,0.0789008,0.0310982,0.013285,147,38,SUCCESS
18,540.635639943735,0.00737516,1.53349,0.474507,0.0946282,1.16794,1.05458,0.0296295,0.0248941,0.031201,150,40,SUCCESS
19,613.004418960309,0.00792037,1.48313,2.6182,0.0549869,0.980712,0.899066,0.0248806,0.0294789,0.034927,157,33,SUCCESS
20,617.736444619862,0.00765062,1.55323,1.96502,0.0864213,1.33851,0.964377,0.0220709,0.0226596,0.0320575,162,36,SUCCESS
21,619.488987191095,0.00657636,1.41324,5.40059e-05,0.112929,0.535325,0.921855,0.0169534,0.00855208,0.0212752,167,38,SUCCESS
22,532.057342934236,0.00707511,1.48039,1.77618,0.0752147,1.21237,0.956451,0.0499538,0.0221548,0.00982583,152,37,SUCCESS
23,621.360872186189,0.00748526,1.47859,2.48831,0.0715949,1.12764,0.942321,0.0772689,0.0381979,0.0188831,158,37,SUCCESS
24,562.900539215939,0.00734121,1.43907,2.06751,0.0656059,1.00611,0.786464,0.0146582,0.0145062,0.0143558,160,40,SUCCESS
25,536.961915103379,0.00699601,1.48399,2.31811,8.69925e-05,1.15709,0.982639,0.0751361,0.0271844,0.0098354,156,37,SUCCESS
26,590.581742279686,0.00743216,1.40905,1.54752,0.0944545,0.944497,1.04769,0.0588397,0.0284167,0.0162614,156,40,SUCCESS
27,563.165142768211,0.00697481,1.42264,1.86023,0.0785769,1.13653,1.04505,0.0319878,0.0267599,0.0223865,151,37,SUCCESS
28,579.593244797032,0.00709014,1.53141,1.66552,0.0995993,1.33612,0.769105,0.000961921,0.00505738,0.0265896,155,39,SUCCESS
29,570.25085921042,0.00769359,1.45364,0.00204231,0.128817,0.674631,1.02921,0.0267309,0.0208475,0.0162591,153,36,SUCCESS
30,514.10750239727,0.00750789,1.57953,0.688025,0.0943104,1.41286,0.964908,0.0570296,0.0359177,0.0265282,144,38,SUCCESS
31,615.08247774011,0.00660963,1.42296,1.72936,0.080563,1.06424,0.721514,0.0314698,0.0221089,0.0211531,167,38,SUCCESS
32,510.917675733268,0.00684979,1.42484,2.72266,9.68189e-14,1.24498,0.816533,0.00302309,0.00793779,0.0208424,142,36,ROUNDING
33,570.067751125465,0.00659495,1.44721,1.96002,0.068144,1.20495,0.829722,0.0249494,0.0171885,0.0118418,162,36,SUCCESS
34,543.8636842497,0.00724985,1.512,2.42677,0.0502649,1.25363,0.94634,0.0262748,0.0189789,0.0137089,152,36,SUCCESS
35,630.910030027735,0.00726029,1.52694,0.403792,0.117002,0.843131,0.986709,0.0245957,0.0147717,0.0381175,164,37,SUCCESS
36,607.180701050989,0.00736337,1.4641,2.55643,0.0676257,1.15087,0.753811,0.127334,0.0337857,0.00896442,154,34,ROUNDING
37,622.149940972433,0.00783357,1.57479,2.76187,5.11236e-06,1.19302,0.919039,0.0828462,0.0426678,0.021975,165,36,SUCCESS
38,562.868982237533,0.00759879,1.49525,0.955204,0.0892336,1.08073,0.888883,0.0243223,0.0192297,0.0263892,158,36,SUCCESS
39,535.242181012116,0.00716151,1.53111,1.49476,0.0824468,1.2852,0.925514,0.0485093,0.0239303,0.0212024,149,42,SUCCESS
40,528.590448781425,0.0075026,1.48287,5.01578e-05,0.0964335,1.19984,1.01935,0.0105375,0.0139829,0.0242854,154,36,SUCCESS
41,449.795451135764,0.00723013,1.44083,0.517782,0.103278,0.882121,1.03165,0.0241896,0.0114617,0.00570465,134,36,SUCCESS
42,523.116870650274,0.00712399,1.48794,3.76374e-05,0.0939481,1.09245,0.912528,0.0132881,0.00831815,0.0286536,150,37,SUCCESS
43,581.803308027152,0.00709986,1.47168,4.00213e-05,0.130496,0.634808,1.00074,0.0210873,0.0122253,0.0137643,156,37,SUCCESS
44,525.155189097139,0.00706896,1.52341,2.52525,1.01521e-05,1.4702,0.949463,0.0228703,0.0195975,0.0167931,150,37,SUCCESS
45,609.885712073202,0.00721643,1.47856,2.48356,0.0558497,1.13386,0.828206,0.0178667,0.0174812,0.017104,166,41,SUCCESS
46,557.655324099755,0.00731781,1.45678,2.16121,0.0622306,1.05145,0.885584,0.0492501,0.0206759,0.00868002,157,39,SUCCESS
47,586.044866791845,0.00772951,1.53128,8.71474e-05,0.104484,1.09167,0.952982,0.0213093,0.0182459,0.0379804,159,37,SUCCESS
48,600.113011219168,0.00697375,1.47189,1.96703,0.070103,1.05314,0.928745,0.0587916,0.0309718,0.0210648,159,34,SUCCESS
49,535.981783953338,0.00662801,1.48917,2.13222,0.0421931,1.49787,1.02148,0.0367575,0.0288687,0.0226729,151,33,SUCCESS
50,550.887366425879,0.00776586,1.50991,0.000142961,0.112326,0.957722,1.01491,0.0240954,0.0235288,0.0328895,147,39,SUCCESS
51,549.616942909914,0.00682211,1.47052,2.00955,0.0655862,1.08079,0.873854,0.0229611,0.0170055,0.0144817,156,39,SUCCESS
52,557.694247315921,0.00741074,1.45039,2.02003e-09,0.106197,1.06194,0.961502,8.57686e-05,0.00154113,0.0297366,155,37,SUCCESS
53,564.804499000053,0.0074666,1.51905,2.51357,6.00968e-06,1.4155,0.946991,0.0562186,0.0329829,0.0266581,153,39,SUCCESS
54,595.248692289313,0.00761357,1.5427,1.01161,0.0983848,0.993549,0.963252,0.0557635,0.0296282,0.0254815,161,39,SUCCESS
55,585.517869006459,0.0072799,1.49478,1.26714,0.101025,1.07847,0.918773,0.0381505,0.0254682,0.0244728,156,40,SUCCESS
56,550.094306150476,0.00774502,1.58169,0.000214761,0.113879,1.14522,0.902349,0.00498819,0.0131838,0.0348448,149,36,SUCCESS
57,556.850444876956,0.00749178,1.50622,2.86485,7.41331e-06,1.24574,1.03863,0.095933,0.0382591,0.0152582,144,35,SUCCESS
58,563.191392834441,0.00727833,1.50909,0.74918,0.110312,1.00476,1.01553,0.016264,0.0250885,0.0387009,147,35,SUCCESS
59,538.469145712043,0.00747478,1.53038,1.1742e-05,0.109571,1.01115,0.878455,0.00824181,0.0153489,0.0285847,149,39,SUCCESS
60,549.734862033708,0.00740979,1.42186,1.71353,0.0895914,1.04047,0.863197,0.0213857,0.0165377,0.0237818,146,35,SUCCESS
61,619.2126037023,0.00737907,1.57466,2.49918,0.051575,1.29952,0.950378,0.0570107,0.0382961,0.0257248,162,36,SUCCESS
62,657.520660371535,0.00751358,1.4571,2.5935,0.0609466,1.07474,0.925031,0.0531854,0.0277952,0.0215003,166,39,SUCCESS
63,525.263916208726,0.0065432,1.47206,2.28847,4.36659e-05,1.27351,0.883206,0.0437922,0.0217861,0.0108383,156,33,SUCCESS
64,533.276987272323,0.00779634,1.53468,1.75827e-05,0.086658,1.17798,0.918941,0.0344698,0.032186,0.0342539,154,37,SUCCESS
65,581.339274866722,0.00722487,1.49381,2.26644,0.0571593,0.950069,1.03608,0.040179,0.0299734,0.0225368,157,40,SUCCESS
66,550.169063455989,0.00766886,1.43043,3.02923,4.55119e-05,1.1848,0.920749,0.0646683,0.0179703,0.00499366,148,37,SUCCESS
67,586.610665549025,0.00769899,1.50265,2.63529,0.0569475,1.09416,0.834307,0.0464953,0.0263826,0.0189599,154,37,SUCCESS
68,543.706215214851,0.00666736,1.37732,2.1895,0.0529359,1.06952,0.745167,0.0841389,0.0199725,0.00474098,156,34,SUCCESS
69,587.524965499773,0.00730102,1.48056,1.76833,0.0941755,1.10698,0.989582,0.0505571,0.0196579,0.0170808,154,38,SUCCESS
70,553.697446537463,0.00708519,1.49474,1.63412,0.0738422,1.24311,0.926215,0.0589914,0.0333322,0.0188339,154,38,SUCCESS
71,533.850845921733,0.00745575,1.45557,1.5625,0.0675236,1.03201,1.00847,0.0837581,0.0411107,0.0201782,149,36,SUCCESS
72,560.071164327373,0.00717519,1.5076,1.32638,0.101389,1.07742,0.986331,0.0107683,0.0156293,0.0305605,150,39,SUCCESS
73,600.957649052894,0.00730576,1.50993,3.05309,0.0355643,1.3423,0.976017,0.00311772,0.0076999,0.0190166,159,33,SUCCESS
74,565.362688198372,0.00741683,1.47777,2.494,0.0468108,1.25557,0.92327,0.0185151,0.0213509,0.0246212,153,35,SUCCESS
75,654.807462280874,0.00797183,1.58205,9.23081e-05,0.132007,1.14732,0.960457,0.0355033,0.0226197,0.0408915,164,38,SUCCESS
76,559.496789101877,0.0075494,1.45605,2.28217,0.046094,0.894239,0.850135,0.0291398,0.0232153,0.0184953,157,41,ROUNDING
77,516.349894388378,0.00823566,1.52018,0.783453,0.107898,1.02519,1.10061,0.0528167,0.0301323,0.0171907,140,32,SUCCESS
78,569.09401680909,0.00769739,1.50553,0.826389,0.100407,1.07631,1.06209,0.0385632,0.0251121,0.0207075,155,34,SUCCESS
