PAR,VALUE,OFV,TERM
T3,0.00732739,584.764596650055,SUCCESS
T3,0.2410125,584.649641271395,SUCCESS
T3,0.607382,584.091388628219,SUCCESS
T3,0.9737515,583.254123471705,SUCCESS
T3,1.340121,582.384213603542,SUCCESS
T3,1.7064905,581.711678293063,SUCCESS
T3,2.07286,581.439352941052,SUCCESS
T3,2.4392295,577.271536232098,OTHER
T3,2.805599,583.467171770338,SUCCESS
T3,3.1719685,587.047136603466,SUCCESS
T3,3.538338,592.814644364725,SUCCESS
T3,3.9047075,574.370620214118,TERMINATED
T3,4.271077,609.704782111751,SUCCESS
T5,0.70888,591.565185773861,SUCCESS
T5,0.77962,588.723275251456,SUCCESS
T5,0.85036,586.249480619801,SUCCESS
T5,0.9211,584.217722987474,SUCCESS
T5,0.99184,582.699616708382,SUCCESS
T5,1.06258,581.758550118361,SUCCESS
T5,1.13332,581.439353243108,SUCCESS
T5,1.20406,581.754888545422,SUCCESS
T5,1.2748,582.679064887091,SUCCESS
T5,1.34554,584.1561463331,SUCCESS
T5,1.41628,586.117662544938,SUCCESS
T5,1.48702,588.493246851996,SUCCESS
T5,1.55776,591.214673487205,SUCCESS
T6,0.6755109,595.033370588834,SUCCESS
T6,0.71547175,591.214183453065,SUCCESS
T6,0.7554326,587.880718573278,SUCCESS
T6,0.79539345,585.144330184278,SUCCESS
T6,0.8353543,583.109550150162,SUCCESS
T6,0.87531515,581.859221699077,SUCCESS
T6,0.915276,581.43935295248,SUCCESS
T6,0.95523685,581.851545516989,SUCCESS
T6,0.9951977,583.057238051606,SUCCESS
T6,1.03515855,584.989502435753,SUCCESS
T6,1.0751194,587.56552061691,SUCCESS
T6,1.11508025,590.695962251247,SUCCESS
T6,1.1550411,594.290469794661,SUCCESS
