"OutName","Parent","EstMethod","Formula","Minimize","Reason","OFV","SE","Parameter","Theta","FixedTheta","Eta","Eps","OffDiagOmega","nDV","AICc","NextSib","FirstKid","LastKid","LOrder","Depth","Pos"
"100base","","FOCEI","BASE",TRUE,"SUCCESS",685.525192722714,TRUE,7,4,0,2,1,"1/1",155,700.287097484619,"110des","100bayes","107wtv",0,0,8.5
"100bayes","100base",,"",FALSE,"UNREADABLE",,FALSE,,,,,,"",,,"100foce","","",1,1,0
"100foce","100base","FOCEI","BASE",TRUE,"SUCCESS",685.525192744795,TRUE,7,4,0,2,1,"1/1",155,700.2870975067,"100imp","","",2,1,1
"100imp","100base",,"BASE",FALSE,"UNREADABLE",,FALSE,,,,,,"",,,"100its","","",3,1,2
"100its","100base",,"BASE",FALSE,"UNREADABLE",,FALSE,,,,,,"",,,"100saem","","",4,1,3
"100saem","100base",,"BASE",FALSE,"UNREADABLE",,FALSE,,,,,,"",,,"101diag","","",5,1,4
"101diag","100base","FOCEI","BASE",TRUE,"SUCCESS",725.571890737342,TRUE,6,4,0,2,1,"0/1",155,738.13945830491,"102sig","","",6,1,5
"102sig","100base","FOCEI","BASE",TRUE,"SUCCESS",685.5251926923,TRUE,7,2,0,2,3,"3/1",155,700.287097454204,"103mats","","",7,1,6
"103mats","100base","FOCEI","BASE",TRUE,"SUCCESS",685.525192722714,TRUE,7,4,0,2,1,"1/1",155,700.287097484619,"104matr","","",8,1,7
"104matr","100base","FOCEI","BASE",TRUE,"SUCCESS",685.525192722714,TRUE,7,4,0,2,1,"1/1",155,700.287097484619,"105start","","",9,1,8
"105start","100base","FOCEI","BASE",TRUE,"SUCCESS",685.525200826172,TRUE,7,4,0,2,1,"1/1",155,700.287105588077,"106wtcl","","",10,1,9
"106wtcl","100base","FOCEI","CL~WT",TRUE,"SUCCESS",671.739681060531,TRUE,8,5,0,2,1,"1/1",155,688.725982430394,"107wtv","108wt","108wt",11,1,13
"107wtv","100base","FOCEI","V~WT",TRUE,"SUCCESS",626.581152314549,TRUE,8,5,0,2,1,"1/1",155,643.567453684412,"","","",20,1,17
"108full","108wt","FOCEI","CL~WT+CREA+APGR+SEX,V~WT",TRUE,"SUCCESS",577.553303649992,TRUE,12,9,0,2,1,"1/1",155,603.750486748583,"108wtbwt","","",13,3,10
"108wt","106wtcl","FOCEI","CL~WT,V~WT",TRUE,"SUCCESS",581.439354128651,TRUE,9,6,0,2,1,"1/1",155,600.680733438996,"","108full","109sex",12,2,13
"108wtbwt","108wt","FOCEI","CL~WT+BWT,V~WT",TRUE,"SUCCESS",581.372514414239,TRUE,10,7,0,2,1,"1/1",155,602.900292192017,"108wtcr","","",14,3,11
"108wtcr","108wt","FOCEI","CL~WT+CREA,V~WT",TRUE,"SUCCESS",580.015376122575,TRUE,10,7,0,2,1,"1/1",155,601.543153900353,"108wts","","",15,3,12
"108wts","108wt","FOCEI","CL~WT,V~WT(FIX1)",TRUE,"SUCCESS",583.252568222851,TRUE,8,6,1,2,1,"1/1",155,600.238869592714,"108wtsim","","",16,3,13
"108wtsim","108wt",,"CL~WT,V~WT",FALSE,"NOESTIMATION",,FALSE,,,,,,"",,,"108wtx","","",17,3,14
"108wtx","108wt","FOCEI","CL~WT(FIX0.75),V~WT(FIX1)",TRUE,"SUCCESS",591.346019105254,TRUE,7,6,2,2,1,"1/1",155,606.107923867159,"109sex","","",18,3,15
"109sex","108wt","FOCEI","CL~WT+SEX,V~WT",TRUE,"SUCCESS",580.031585150609,TRUE,10,7,0,2,1,"1/1",155,601.559362928387,"","","",19,3,16
"110des","","FOCEI","",TRUE,"SUCCESS",121.46606596131,TRUE,8,5,0,3,1,"0/3",120,138.763363258607,"110ka","","",21,0,18
"110ka","","FOCEI","BASE",TRUE,"SUCCESS",121.466066093485,TRUE,8,5,0,3,1,"0/3",120,138.763363390783,"120base","110kax","113blk",22,0,20.5
"110kax","110ka","FOCEI","BASE",TRUE,"SUCCESS",115.483550654242,TRUE,8,5,0,3,1,"0/3",120,132.780847951539,"111lag","","",23,1,19
"111lag","110ka","FOCEI","BASE",TRUE,"SUCCESS",82.2024084097698,TRUE,9,6,0,3,1,"0/3",120,101.838772046133,"112zo","","",24,1,20
"112zo","110ka","FOCEI","BASE",TRUE,"HOWEVER",79.6558053866693,TRUE,8,5,0,3,1,"0/3",120,96.9531026839666,"113blk","","",25,1,21
"113blk","110ka","FOCEI","BASE",TRUE,"HOWEVER",110.168863695623,FALSE,11,5,0,3,1,"3/3",120,134.613308140068,"","","",26,1,22
"120add","120base","FOCEI","BASE",TRUE,"SUCCESS",-2252.68613960982,TRUE,7,4,0,3,1,"0/3",1260,-2238.59668274081,"120m1","","",28,1,23
"120base","","FOCEI","BASE",TRUE,"SUCCESS",-2368.86544190952,TRUE,8,5,0,3,1,"0/3",1260,-2352.75033399585,"130mult","120add","124etaeps",27,0,26.5
"120m1","120base","FOCEI","BASE",TRUE,"SUCCESS",-1970.28310812908,TRUE,8,5,0,3,1,"0/3",1096,-1954.15063342807,"120m3","","",29,1,24
"120m3","120base","LI","",TRUE,"SUCCESS",-1732.44431137342,TRUE,8,5,0,3,1,"0/3",1260,-1716.32920345975,"120m5","","",30,1,25
"120m5","120base","FOCEI","BASE",TRUE,"SUCCESS",-2221.75151934927,TRUE,8,5,0,3,1,"0/3",1260,-2205.6364114356,"120prop","","",31,1,26
"120prop","120base","FOCEI","BASE",TRUE,"SUCCESS",-2102.32180417084,TRUE,7,4,0,3,1,"0/3",1260,-2088.23234730183,"121iov","","",32,1,27
"121iov","120base","FOCEI","BASE",TRUE,"SUCCESS",-2717.6649168836,TRUE,10,5,4,9,1,"0/36",1260,-2697.48877597087,"122mix","","",33,1,28
"122mix","120base","FOCEI","BASE",TRUE,"SUCCESS",-2389.97841060809,TRUE,10,7,0,3,1,"0/3",1260,-2369.80226969535,"124etaeps","123mixiov","123mixiov",34,1,29
"123mixiov","122mix","FOCEI","BASE",TRUE,"SUCCESS",-2739.20051152596,TRUE,12,7,4,9,1,"0/36",1260,-2714.9503110448,"","","",35,2,29
"124etaeps","120base","FOCEI","BASE",TRUE,"SUCCESS",-2373.39614990356,TRUE,9,5,0,4,1,"0/6",1260,-2355.25214990356,"","","",36,1,30
"130addl","130mult","FOCEI","",TRUE,"SUCCESS",-338.608839466516,TRUE,8,5,0,3,1,"0/3",270,-322.057115328585,"","","",38,1,31
"130mult","","FOCEI","BASE",TRUE,"SUCCESS",-338.608839466516,TRUE,8,5,0,3,1,"0/3",270,-322.057115328585,"130ss","130addl","130addl",37,0,31
"130ss","","FOCEI","",TRUE,"HOWEVER",-147.649438432739,TRUE,8,5,0,3,1,"0/3",180,-130.807333169581,"130ssx","","",39,0,32
"130ssx","","FOCEI","",TRUE,"SUCCESS",-173.557426993581,TRUE,8,5,0,3,1,"0/3",180,-156.715321730423,"140iv2","","",40,0,33
"140iv2","","FOCEI","BASE",TRUE,"SUCCESS",-472.352872720623,TRUE,6,4,0,2,1,"0/1",440,-460.15887733956,"cnt100","200iv2","200iv2",41,0,34
"200iv2","140iv2","FOCEI","BASE",TRUE,"SUCCESS",-1305.92154730546,TRUE,10,6,0,4,1,"0/6",440,-1285.40872679264,"","300iv2","300iv2",42,1,34
"300iv2","200iv2","FOCEI","BASE",TRUE,"SUCCESS",-1308.85950311743,TRUE,14,8,0,6,1,"0/15",440,-1279.87126782332,"","","",43,2,34
"cnt100","","L","BASE",TRUE,"SUCCESS",6808.61410644228,TRUE,4,3,0,1,1,"0/0",1200,6816.64757924563,"oq1","cnt101","cnt101",44,0,35
"cnt101","cnt100","L","BASE",TRUE,"SUCCESS",6196.63301559297,TRUE,5,4,0,1,1,"0/0",1200,6206.68326684925,"","cnt102","cnt102",45,1,35
"cnt102","cnt101","L","BASE",TRUE,"SUCCESS",6210.41333467178,TRUE,3,2,0,1,1,"0/0",1200,6216.43340156141,"","","",46,2,35
"oq1","","FOCEI","BASE",TRUE,"HOWEVER",-1121.02835423947,TRUE,15,4,0,4,1,"7/6",500,-1090.03661870228,"pd100x","","",47,0,36
"pd100","pd100x","FOCEI","BASE",TRUE,"HOWEVER",293.862830961013,TRUE,15,10,0,5,1,"0/10",1920,324.114931801349,"","pd100sim","pd103",49,1,38.5
"pd100sim","pd100",,"BASE",FALSE,"NOESTIMATION",,FALSE,,,,,,"",,,"pd101","","",50,2,37
"pd100x","","FOCEI","BASE",TRUE,"HOWEVER",299.459422284625,TRUE,15,10,0,5,1,"0/10",1920,329.711523124961,"pd200ord","pd100","pd100",48,0,38.5
"pd101","pd100","FOCEI","BASE",TRUE,"SUCCESS",46.4450841514623,TRUE,15,10,0,5,1,"0/10",1560,76.7559649804779,"pd102","pd101b","pd101b",51,2,38
"pd101b","pd101","FOCEI","BASE",TRUE,"HOWEVER",215.455881679732,TRUE,15,10,0,5,1,"0/10",520,246.408262632113,"","","",52,3,38
"pd102","pd100","FOCEI","LB=logit(BSL",TRUE,"SUCCESS",356.511674385985,TRUE,13,9,0,4,1,"0/6",1760,382.72015090374,"pd103","","",53,2,39
"pd103","pd100","FOCEI","BASE",TRUE,"SUCCESS",299.798014500362,TRUE,15,10,0,5,1,"0/10",1920,330.050115340698,"","","",54,2,40
"pd200ord","","L","BASE",TRUE,"SUCCESS",1697.73401895275,TRUE,7,6,0,1,1,"0/0",1440,1711.81223124325,"ped100","","",55,0,41
"ped100","","FOCEI","",TRUE,"HOWEVER",223.794455820621,FALSE,6,4,0,2,1,"0/1",543,235.951172238532,"ped103","ped101","ped102",56,0,42.5
