REP,OFV,T5,T6,TERM
1,684.520955917125,-0.190495,-0.0739288,SUCCESS
2,680.827765870829,0.218749,0.272467,SUCCESS
3,685.280649529266,-0.0489268,-0.0633272,SUCCESS
4,684.131724079418,0.20258,0.0235535,SUCCESS
5,682.088284528013,0.297177,0.239678,SUCCESS
6,684.778712381992,-0.0817612,-0.108444,SUCCESS
7,684.117229025492,-0.0647854,-0.142925,SUCCESS
8,683.298425675123,0.0260917,0.138784,SUCCESS
9,674.581171591636,0.47631,0.0959765,SUCCESS
10,676.853743245201,-0.389902,-0.377973,SUCCESS
11,685.414980269885,-0.0231688,-0.0393359,SUCCESS
12,685.234993314497,0.0277293,-0.024944,SUCCESS
13,682.527435282965,-0.270861,-0.0267813,SUCCESS
14,676.01390997032,-0.545544,-0.22754,SUCCESS
15,683.207639275249,0.22736,0.072264,SUCCESS
16,683.750830074943,-0.205014,-0.175329,SUCCESS
17,678.844081049513,-0.303917,0.00561028,SUCCESS
18,681.757337367935,-0.273396,-0.0414273,SUCCESS
19,685.368834029464,-0.0181782,-0.0418527,SUCCESS
20,684.696439464562,-0.15312,-0.060377,SUCCESS
21,683.320562766731,0.185202,0.00266832,SUCCESS
22,684.980786675763,-0.117583,-0.0971035,SUCCESS
23,682.265583063483,0.209294,-0.00768281,SUCCESS
24,684.300984648177,-0.172545,-0.145781,SUCCESS
25,684.482982441482,-0.113782,-0.133018,SUCCESS
26,684.53898778258,-0.00275736,0.0772123,SUCCESS
27,683.880571874549,0.0782695,0.138614,SUCCESS
28,683.674635418473,0.0220165,-0.0935482,SUCCESS
29,680.103267012551,0.220332,-0.0333995,SUCCESS
30,685.219412947969,-0.0813012,-0.0743945,SUCCESS
31,681.014984773076,-0.00357049,-0.191007,SUCCESS
32,683.120453137387,-0.125829,-0.191301,SUCCESS
33,684.785128920422,-0.0859123,0.024177,SUCCESS
34,684.510251681323,-0.186656,-0.11848,SUCCESS
35,681.842978174056,-0.345546,-0.22301,SUCCESS
36,685.349811108239,-0.0478488,0.00746056,SUCCESS
37,679.010058056248,0.437448,0.198429,SUCCESS
38,685.027224240672,-0.0376186,0.0349274,SUCCESS
39,684.343937556743,-0.208882,-0.108661,SUCCESS
40,685.190848287112,0.0582659,-0.0131409,SUCCESS
41,682.851753943404,-0.157833,0.0397915,SUCCESS
42,684.431123824853,0.151674,0.13851,SUCCESS
43,685.46929916904,0.0374558,0.0306626,SUCCESS
44,680.629228412721,-0.0103302,0.180886,ROUNDING
45,684.058384098571,-0.243477,-0.134015,SUCCESS
46,683.565232493535,-0.289222,-0.116278,SUCCESS
47,684.651242523112,0.119569,-0.00684646,SUCCESS
48,685.03019674123,-0.0760664,-0.0911211,SUCCESS
49,681.126340133468,0.0442639,-0.152037,SUCCESS
50,684.647862339853,0.0044762,-0.0819506,SUCCESS
51,684.891643878531,0.144405,0.0511888,SUCCESS
52,685.441282317887,0.04069,0.00441384,SUCCESS
53,682.840165822147,-0.129431,0.0532809,SUCCESS
54,681.66740579531,0.14904,-0.0485229,SUCCESS
55,684.95966383218,0.00623095,0.0714565,SUCCESS
56,681.646613337225,0.330286,0.143712,SUCCESS
57,683.998000145058,0.0579867,-0.0733522,SUCCESS
58,681.002705965295,-0.393401,-0.0657576,SUCCESS
59,684.421268777185,-0.190465,-0.100664,SUCCESS
60,684.421089075395,0.182651,0.132038,SUCCESS
61,684.291119115598,0.0474846,0.11817,SUCCESS
62,685.247920594154,0.0158224,-0.0452678,SUCCESS
63,683.623967660479,0.261581,0.132464,SUCCESS
64,682.870804003748,0.0391115,0.156206,SUCCESS
65,685.421589832781,-0.037315,0.00363601,SUCCESS
66,685.223068024834,-0.0447922,-0.0677514,SUCCESS
67,682.888461760847,0.219045,0.0109428,SUCCESS
68,683.648806711686,0.258809,0.113887,SUCCESS
69,683.893234179458,0.0322183,-0.0766902,SUCCESS
70,683.599184988816,-0.155024,0.0311745,SUCCESS
71,679.86133913569,0.393916,0.299124,SUCCESS
72,685.522799190966,-0.00423375,0.00167185,SUCCESS
73,682.242329119537,-0.321669,-0.221244,SUCCESS
74,684.396335872105,-0.100741,0.0196487,SUCCESS
75,684.088355665993,-0.182561,-0.0134888,SUCCESS
76,684.751603939345,-0.0849074,0.0304036,SUCCESS
77,683.542946726838,-0.117345,0.0437651,SUCCESS
78,682.701376003367,-0.1879,0.0216226,SUCCESS
79,685.225507246908,-0.0514692,-0.0696333,SUCCESS
80,684.877131820344,-0.153257,-0.0901639,SUCCESS
81,684.541609296699,0.0157404,0.108846,SUCCESS
82,682.742046066121,-0.052511,0.106914,SUCCESS
83,683.39706244613,0.189709,0.192563,SUCCESS
84,685.176618986867,-0.111433,-0.0711751,SUCCESS
85,682.87668832225,0.269867,0.206481,SUCCESS
86,679.551047246955,-0.0349371,-0.215755,SUCCESS
87,684.604341762807,-0.107498,0.0103871,SUCCESS
88,680.550548101906,-0.0729452,-0.217989,SUCCESS
89,682.361541664495,0.162607,0.221109,SUCCESS
90,618.295013800693,-0.118342,-0.260459,ROUNDING
91,685.471059681121,0.0409714,0.0282392,SUCCESS
92,682.544121161733,-0.321914,-0.143459,SUCCESS
93,683.53769705097,-0.214576,-0.185598,SUCCESS
94,680.887820212572,0.356788,0.271646,SUCCESS
95,685.406164641177,-0.0234984,-0.0404752,SUCCESS
96,684.173102320532,0.20706,0.133412,SUCCESS
97,685.039627439619,0.0591408,0.0865118,SUCCESS
98,683.644474113363,-0.0826796,-0.156475,SUCCESS
99,685.276980331282,-0.0856354,-0.063558,SUCCESS
100,683.869863831619,-0.00901743,-0.123366,SUCCESS
101,680.288601229053,-0.342477,-0.0826412,SUCCESS
102,684.578355073502,-0.140969,-0.0257193,SUCCESS
103,685.343691558597,0.0815984,0.0458382,SUCCESS
104,685.241256806064,-0.103555,-0.0597093,SUCCESS
105,685.00883789095,-0.0848624,0.00422297,SUCCESS
106,682.974693642367,0.0773831,-0.0895223,SUCCESS
107,685.387107352188,-0.0146737,-0.0383053,SUCCESS
108,684.762598626867,-0.152758,-0.109842,SUCCESS
109,681.199046487942,0.299891,0.0889828,SUCCESS
110,683.888131475691,-0.140689,-0.165905,SUCCESS
111,684.126801270514,-0.148463,-0.00113585,SUCCESS
112,684.894576843436,-0.0773239,0.0202013,SUCCESS
113,684.660100951727,-0.140919,-0.00542985,SUCCESS
114,685.472315853189,0.0362941,0.00254958,SUCCESS
115,684.208284439399,0.069129,0.130633,SUCCESS
116,685.383603958927,-0.0176669,0.0163042,SUCCESS
117,684.842182226332,-0.146838,-0.102015,SUCCESS
118,685.295648524938,0.0332859,0.0574007,SUCCESS
119,684.55787507877,0.185451,0.101255,SUCCESS
120,683.881681009481,0.204984,0.040705,SUCCESS
121,685.03314184717,0.111432,0.0371613,SUCCESS
122,685.291820978315,0.0198393,-0.0326625,SUCCESS
123,685.089787623155,0.00695669,0.0576661,SUCCESS
124,683.98509643196,0.044837,-0.0754846,SUCCESS
125,683.941048602906,-0.220234,-0.154909,SUCCESS
126,680.160738233411,-0.166731,-0.277017,SUCCESS
127,679.836185545611,-0.102206,-0.262597,SUCCESS
128,682.158078980681,0.358932,0.14501,SUCCESS
129,685.346240132533,-0.079932,-0.0412312,SUCCESS
130,685.119315222365,0.0138387,0.0675935,SUCCESS
131,681.105896620708,-0.369715,-0.0865217,SUCCESS
132,685.316682662515,0.0735204,0.014244,SUCCESS
133,685.359093698137,0.0100216,0.0403466,SUCCESS
134,685.047985750645,0.1149,0.0889693,SUCCESS
135,685.45572865102,0.0403941,0.0119371,SUCCESS
136,683.906215928334,0.172672,0.0126315,SUCCESS
137,681.656088797733,0.074032,-0.13161,SUCCESS
138,684.860520674567,-0.0532458,-0.101365,SUCCESS
139,683.953817150879,0.207672,0.0523088,SUCCESS
140,685.22377618451,-0.0898582,-0.0713937,SUCCESS
141,683.508594161931,-0.236536,-0.18252,SUCCESS
142,684.268772054841,-0.178872,-0.0309783,SUCCESS
143,684.783397075383,0.0799026,0.10919,SUCCESS
144,685.314511674607,-0.0138392,0.0305904,SUCCESS
145,684.118476306173,-0.212765,-0.146646,SUCCESS
146,685.479036235966,0.00609528,-0.0152574,SUCCESS
147,683.576593465987,0.280746,0.097934,SUCCESS
148,681.466862545883,-0.0350019,-0.199364,SUCCESS
149,684.958284958502,0.118409,0.0327321,SUCCESS
150,681.565391668983,-0.14755,0.12756,SUCCESS
151,684.958973651007,0.0145417,-0.0546739,SUCCESS
152,684.180752199412,-0.0807766,-0.136088,SUCCESS
153,685.071698403038,0.112538,0.0863165,SUCCESS
154,682.535300124715,0.203032,0.228198,SUCCESS
155,684.764146539045,-0.0287721,0.0636408,SUCCESS
156,683.412423559896,-0.219765,-0.0303591,SUCCESS
157,684.427981866123,-0.0332478,0.0677448,SUCCESS
158,684.877466074838,0.0266969,0.0832763,SUCCESS
159,681.725263244806,0.302484,0.0803569,SUCCESS
160,684.46228234152,-0.115951,-0.135401,SUCCESS
161,680.567463240721,0.16159,-0.0813301,SUCCESS
162,685.010008255171,-0.064257,-0.093329,SUCCESS
163,684.528102494854,0.181684,0.0452423,SUCCESS
164,684.659302519265,0.00688902,-0.0911724,SUCCESS
165,685.133636365289,0.116358,0.0545718,SUCCESS
166,684.592757253401,0.0991564,0.123113,SUCCESS
167,680.624497698292,0.0245311,0.197456,SUCCESS
168,684.732054097325,-0.0629552,-0.10661,SUCCESS
169,682.333202915276,-0.27168,-0.045127,SUCCESS
170,684.626251735627,0.132704,-0.00417975,SUCCESS
171,683.576579387265,-0.139064,-0.179572,SUCCESS
172,681.952645414767,0.322942,0.110768,SUCCESS
173,685.137463341647,-0.103472,-0.0307438,SUCCESS
174,684.182787443007,-0.115471,-0.146679,SUCCESS
175,682.89128535614,-0.0041993,0.118771,SUCCESS
176,685.35260817804,0.0432028,0.0540809,SUCCESS
177,682.984126504232,-0.2825,-0.126571,SUCCESS
178,684.897722317185,0.122246,0.0174194,SUCCESS
179,684.288401798817,0.110647,0.142527,SUCCESS
180,684.248890310818,-0.216086,-0.123464,SUCCESS
181,685.198704530661,-0.0956451,-0.0739902,SUCCESS
182,668.039279925885,0.0867065,-0.0564814,TERMINATED
183,683.799970445393,0.114618,0.163191,SUCCESS
184,682.783501400569,-0.0527099,-0.166363,SUCCESS
185,685.141648905028,0.0837023,0.0817689,SUCCESS
186,680.437152151389,0.336437,0.0301094,SUCCESS
187,684.55340553918,-0.158783,-0.129424,SUCCESS
188,684.704528599663,0.030644,0.102643,SUCCESS
189,684.073347216699,0.155864,0.0148777,SUCCESS
190,677.690589970601,-0.371926,-0.0960329,SUCCESS
191,684.291124432267,0.0494838,-0.0939109,SUCCESS
192,682.76400577432,0.0328114,-0.138894,SUCCESS
193,684.074001941363,0.0686702,0.140316,SUCCESS
194,683.010946800189,-0.174884,-0.206338,SUCCESS
195,682.390094088875,0.262377,0.0344368,SUCCESS
196,683.655303652558,-0.248912,-0.0966186,SUCCESS
197,679.261784370203,-0.395114,-0.16151,SUCCESS
198,685.064147338686,0.116111,0.0868014,SUCCESS
199,685.160576934411,0.0843229,0.0800279,SUCCESS
200,684.288979684187,-0.138089,-0.1456,SUCCESS
