REP,DESIGN,OFV,KA,CL,V,ADD,PROP,OM_KA,OM_CL,OM_V,TERM
1,rich,-422.326854584822,1.25558,3.9409,48.9858,0.0370809,0.141293,0.108598,0.0441936,0.0522995,SUCCESS
2,rich,-435.414360472882,1.292,4.04502,54.6691,0.0664858,0.121245,0.22461,0.107984,0.0369215,SUCCESS
3,rich,-503.89209389994,1.11727,4.46689,53.0354,0.0275648,0.128012,0.135019,0.0557319,0.0307019,SUCCESS
4,rich,-427.503123212578,1.08586,4.0028,46.7752,0.0699337,0.111878,0.167825,0.100407,0.0339395,SUCCESS
5,rich,-445.03033194766,1.26696,3.96636,48.5952,0.0292607,0.117443,0.177481,0.119,0.0491453,SUCCESS
6,rich,-453.862288134066,1.25115,3.84906,46.6901,0.0358603,0.108984,0.178507,0.109042,0.036051,SUCCESS
7,rich,-470.611412640374,1.14826,4.31861,51.6377,0.0297905,0.125824,0.095517,0.105718,0.0514743,SUCCESS
8,rich,-463.912659998194,1.01606,4.41107,48.0017,0.026329,0.131047,0.0824058,0.101779,0.0566789,SUCCESS
9,rich,-445.720327209215,1.22573,4.28342,50.9589,0.0645035,0.1141,0.165705,0.0880067,0.0507204,SUCCESS
10,rich,-453.678639520887,1.12741,3.72964,46.7614,0.0296034,0.116519,0.125756,0.0647176,0.0493991,SUCCESS
11,rich,-462.487835158082,1.13425,3.80447,51.9277,0.0679061,0.110048,0.146189,0.0490076,0.0475426,SUCCESS
12,rich,-485.034061494116,1.11066,4.66002,49.4162,0.0381529,0.109503,0.156894,0.106375,0.0624456,SUCCESS
13,rich,-476.514027404677,1.28555,3.80913,50.0223,0.0400225,0.103052,0.127799,0.157369,0.0313419,SUCCESS
14,rich,-434.00719353772,1.10037,4.10077,50.6343,0.0729016,0.118601,0.14957,0.101358,0.0349237,SUCCESS
15,rich,-482.051171409255,1.29929,3.98929,50.3413,0.0512564,0.10964,0.126677,0.038618,0.0455578,SUCCESS
16,rich,-442.460408769878,1.34001,4.30673,51.2289,0.0201252,0.131633,0.24231,0.116274,0.0421766,SUCCESS
17,rich,-456.888718903718,1.23569,4.14562,51.3279,0.040091,0.129263,0.143261,0.0625292,0.039815,SUCCESS
18,rich,-420.383236463712,1.3559,3.64057,49.6303,0.0576986,0.124499,0.121482,0.0834678,0.0324472,SUCCESS
19,rich,-483.906894766969,0.954603,3.92383,50.0836,0.0579972,0.106147,0.193238,0.0596539,0.0343949,SUCCESS
20,rich,-476.977830242374,1.11277,3.9632,51.2488,0.0483832,0.108562,0.0889265,0.106245,0.0560937,SUCCESS
21,rich,-435.020570264098,1.19836,3.80094,48.8015,0.0476952,0.12345,0.130867,0.09568,0.0272911,SUCCESS
22,rich,-481.536947225036,1.06569,4.43937,53.0856,0.0207961,0.137634,0.124009,0.0707618,0.0390815,SUCCESS
