REP,ID,TIME,DV,DVID,CMT
1,1,0,96.22,2,3
1,1,0.5,10.112,1,2
1,1,2,11.674,1,2
1,1,6,10.031,1,2
1,1,12,9.6469,1,2
1,1,12,63.224,2,3
1,1,24,7.0366,1,2
1,1,24,41.091,2,3
1,1,36,30.579,2,3
1,1,48,4.7598,1,2
1,1,48,26.7,2,3
1,1,72,3.0377,1,2
1,1,72,30.241,2,3
1,1,96,1.849,1,2
1,1,96,35.078,2,3
1,1,120,1.2075,1,2
1,1,120,37.476,2,3
1,1,144,59.967,2,3
1,2,0,102.56,2,3
1,2,0.5,5.4072,1,2
1,2,2,10.138,1,2
1,2,6,9.6936,1,2
1,2,12,9.8964,1,2
1,2,12,80.02,2,3
1,2,24,8.6211,1,2
1,2,24,45.008,2,3
1,2,36,33.567,2,3
1,2,48,7.1711,1,2
1,2,48,34.039,2,3
1,2,72,6.3202,1,2
1,2,72,21.134,2,3
1,2,96,4.321,1,2
1,2,96,17.305,2,3
1,2,120,3.5646,1,2
1,2,120,41.791,2,3
1,2,144,24.4,2,3
1,3,0,84.56,2,3
1,3,0.5,4.2786,1,2
1,3,2,12.353,1,2
1,3,6,16.295,1,2
1,3,12,12.285,1,2
1,3,12,53.856,2,3
1,3,24,12.851,1,2
1,3,24,33.215,2,3
1,3,36,21.389,2,3
1,3,48,6.8617,1,2
1,3,48,14.618,2,3
1,3,72,4.3346,1,2
1,3,72,16.369,2,3
1,3,96,2.9298,1,2
1,3,96,17.841,2,3
1,3,120,1.9488,1,2
1,3,120,18.924,2,3
1,3,144,32.764,2,3
1,4,0,101.4,2,3
1,4,0.5,7.2698,1,2
1,4,2,12.102,1,2
1,4,6,15.465,1,2
1,4,12,11.793,1,2
1,4,12,76.823,2,3
1,4,24,7.0379,1,2
1,4,24,63.062,2,3
1,4,36,53.29,2,3
1,4,48,5.0191,1,2
1,4,48,32.058,2,3
1,4,72,2.7488,1,2
1,4,72,37.485,2,3
1,4,96,1.5949,1,2
1,4,96,42.602,2,3
1,4,120,0.85533,1,2
1,4,120,43.133,2,3
1,4,144,59.562,2,3
1,5,0,108.46,2,3
1,5,0.5,9.8315,1,2
1,5,2,17.021,1,2
1,5,6,19.476,1,2
1,5,12,11.3,1,2
1,5,12,79.105,2,3
1,5,24,7.4285,1,2
1,5,24,44.245,2,3
1,5,36,34.985,2,3
1,5,48,2.0637,1,2
1,5,48,33.15,2,3
1,5,72,0.72785,1,2
1,5,72,46.313,2,3
1,5,96,0.23942,1,2
1,5,96,57.631,2,3
1,5,120,0.090954,1,2
1,5,120,76.513,2,3
1,5,144,88.711,2,3
1,6,0,107.26,2,3
1,6,0.5,9.0308,1,2
1,6,2,9.4866,1,2
1,6,6,10.231,1,2
1,6,12,8.536,1,2
1,6,12,65.028,2,3
1,6,24,8.6116,1,2
1,6,24,36.795,2,3
1,6,36,22.379,2,3
1,6,48,6.1135,1,2
1,6,48,18.211,2,3
1,6,72,3.7574,1,2
1,6,72,15.223,2,3
1,6,96,3.0554,1,2
1,6,96,21.336,2,3
1,6,120,2.127,1,2
1,6,120,11.109,2,3
1,6,144,24.894,2,3
1,7,0,114.68,2,3
1,7,0.5,3.1545,1,2
1,7,2,7.2938,1,2
1,7,6,11.987,1,2
1,7,12,9.4075,1,2
1,7,12,62.418,2,3
1,7,24,7.1343,1,2
1,7,24,27.283,2,3
1,7,36,35.181,2,3
1,7,48,3.3115,1,2
1,7,48,27.14,2,3
1,7,72,1.8547,1,2
1,7,72,34.425,2,3
1,7,96,0.74346,1,2
1,7,96,63.8,2,3
1,7,120,0.38552,1,2
1,7,120,72.932,2,3
1,7,144,91.608,2,3
1,8,0,99.042,2,3
1,8,0.5,7.0973,1,2
1,8,2,12.164,1,2
1,8,6,12.23,1,2
1,8,12,10.974,1,2
1,8,12,57.271,2,3
1,8,24,9.5354,1,2
1,8,24,28.747,2,3
1,8,36,20.433,2,3
1,8,48,7.2614,1,2
1,8,48,21.35,2,3
1,8,72,4.6528,1,2
1,8,72,29.783,2,3
1,8,96,3.8619,1,2
1,8,96,27.076,2,3
1,8,120,2.3895,1,2
1,8,120,42.054,2,3
1,8,144,38.026,2,3
1,9,0,125.26,2,3
1,9,0.5,2.0824,1,2
1,9,2,6.481,1,2
1,9,6,8.9056,1,2
1,9,12,8.3551,1,2
1,9,12,83.641,2,3
1,9,24,7.6777,1,2
1,9,24,52.492,2,3
1,9,36,44.481,2,3
1,9,48,5.0717,1,2
1,9,48,18.79,2,3
1,9,72,4.1074,1,2
1,9,72,11.002,2,3
1,9,96,3.7679,1,2
1,9,96,14.778,2,3
1,9,120,2.5625,1,2
1,9,120,11.369,2,3
1,9,144,10.709,2,3
1,10,0,124.79,2,3
1,10,0.5,9.2412,1,2
1,10,2,16.242,1,2
1,10,6,11.145,1,2
1,10,12,12.574,1,2
1,10,12,69.854,2,3
1,10,24,10.114,1,2
1,10,24,38.105,2,3
1,10,36,34.23,2,3
1,10,48,7.0833,1,2
1,10,48,24.378,2,3
1,10,72,4.66,1,2
1,10,72,21.925,2,3
1,10,96,3.172,1,2
1,10,96,19.862,2,3
1,10,120,1.5416,1,2
1,10,120,27.732,2,3
1,10,144,37.426,2,3
1,11,0,121.03,2,3
1,11,0.5,16.031,1,2
1,11,2,18.286,1,2
1,11,6,17.003,1,2
1,11,12,15.958,1,2
1,11,12,69.397,2,3
1,11,24,12.503,1,2
1,11,24,42.676,2,3
1,11,36,28.922,2,3
1,11,48,6.4976,1,2
1,11,48,30.148,2,3
1,11,72,4.6104,1,2
1,11,72,10.297,2,3
1,11,96,1.7356,1,2
1,11,96,30.225,2,3
1,11,120,1.2879,1,2
1,11,120,20.143,2,3
1,11,144,50.425,2,3
1,12,0,97.57,2,3
1,12,0.5,5.5042,1,2
1,12,2,11.396,1,2
1,12,6,11.016,1,2
1,12,12,12.193,1,2
1,12,12,44.304,2,3
1,12,24,8.3742,1,2
1,12,24,22.468,2,3
1,12,36,25.772,2,3
1,12,48,4.8682,1,2
1,12,48,11.102,2,3
1,12,72,3.6401,1,2
1,12,72,20.612,2,3
1,12,96,2.1872,1,2
1,12,96,29.477,2,3
1,12,120,1.4607,1,2
1,12,120,45.01,2,3
1,12,144,48.809,2,3
1,13,0,105.17,2,3
1,13,0.5,11.899,1,2
1,13,2,18.837,1,2
1,13,6,16.051,1,2
1,13,12,15.51,1,2
1,13,12,64.799,2,3
1,13,24,8.5675,1,2
1,13,24,49.297,2,3
1,13,36,36.162,2,3
1,13,48,5.5306,1,2
1,13,48,23.685,2,3
1,13,72,2.5755,1,2
1,13,72,11.545,2,3
1,13,96,1.0674,1,2
1,13,96,18.261,2,3
1,13,120,0.60074,1,2
1,13,120,39.286,2,3
1,13,144,54.181,2,3
1,14,0,96.696,2,3
1,14,0.5,5.9116,1,2
1,14,2,12.186,1,2
1,14,6,12.857,1,2
1,14,12,12.774,1,2
1,14,12,65.038,2,3
1,14,24,11.473,1,2
1,14,24,45.426,2,3
1,14,36,33.556,2,3
1,14,48,6.8223,1,2
1,14,48,19.099,2,3
1,14,72,3.8987,1,2
1,14,72,16.776,2,3
1,14,96,3.1929,1,2
1,14,96,15.184,2,3
1,14,120,2.5216,1,2
1,14,120,17.772,2,3
1,14,144,19.268,2,3
1,15,0,115.37,2,3
1,15,0.5,5.1655,1,2
1,15,2,12.99,1,2
1,15,6,16.735,1,2
1,15,12,12.846,1,2
1,15,12,53.368,2,3
1,15,24,9.0759,1,2
1,15,24,36.814,2,3
1,15,36,17.85,2,3
1,15,48,3.6664,1,2
1,15,48,16.873,2,3
1,15,72,1.7462,1,2
1,15,72,33.848,2,3
1,15,96,0.87869,1,2
1,15,96,46.523,2,3
1,15,120,0.39241,1,2
1,15,120,73.675,2,3
1,15,144,87.956,2,3
1,16,0,95.819,2,3
1,16,0.5,5.3994,1,2
1,16,2,13.962,1,2
1,16,6,9.7866,1,2
1,16,12,11.08,1,2
1,16,12,53.939,2,3
1,16,24,8.6627,1,2
1,16,24,33.11,2,3
1,16,36,34.664,2,3
1,16,48,4.9189,1,2
1,16,48,20.371,2,3
1,16,72,2.4367,1,2
1,16,72,20.394,2,3
1,16,96,1.6416,1,2
1,16,96,25.837,2,3
1,16,120,1.0817,1,2
1,16,120,35.145,2,3
1,16,144,43.032,2,3
1,17,0,95.473,2,3
1,17,0.5,11.444,1,2
1,17,2,14.155,1,2
1,17,6,13.002,1,2
1,17,12,10.856,1,2
1,17,12,59.837,2,3
1,17,24,8.3392,1,2
1,17,24,40.084,2,3
1,17,36,34.897,2,3
1,17,48,4.1767,1,2
1,17,48,14.723,2,3
1,17,72,2.7852,1,2
1,17,72,18.229,2,3
1,17,96,1.53,1,2
1,17,96,22.814,2,3
1,17,120,0.8527,1,2
1,17,120,24.478,2,3
1,17,144,43.569,2,3
1,18,0,105.29,2,3
1,18,0.5,3.3058,1,2
1,18,2,8.1767,1,2
1,18,6,12.127,1,2
1,18,12,10.522,1,2
1,18,12,75.028,2,3
1,18,24,8.4522,1,2
1,18,24,42.999,2,3
1,18,36,39.529,2,3
1,18,48,4.6863,1,2
1,18,48,30.883,2,3
1,18,72,2.6974,1,2
1,18,72,27.274,2,3
1,18,96,2.2017,1,2
1,18,96,34.446,2,3
1,18,120,1.1818,1,2
1,18,120,42.747,2,3
1,18,144,52.386,2,3
1,19,0,106.23,2,3
1,19,0.5,8.8457,1,2
1,19,2,12.837,1,2
1,19,6,9.7269,1,2
1,19,12,11.184,1,2
1,19,12,64.795,2,3
1,19,24,9.6121,1,2
1,19,24,61.616,2,3
1,19,36,39.3,2,3
1,19,48,5.9614,1,2
1,19,48,31.576,2,3
1,19,72,3.9963,1,2
1,19,72,16.036,2,3
1,19,96,2.2653,1,2
1,19,96,24.779,2,3
1,19,120,1.6739,1,2
1,19,120,30.671,2,3
1,19,144,27.773,2,3
1,20,0,85.461,2,3
1,20,0.5,8.7456,1,2
1,20,2,8.5849,1,2
1,20,6,10.106,1,2
1,20,12,8.9697,1,2
1,20,12,55.455,2,3
1,20,24,7.9022,1,2
1,20,24,44.916,2,3
1,20,36,22.183,2,3
1,20,48,5.8666,1,2
1,20,48,15.772,2,3
1,20,72,4.4564,1,2
1,20,72,18.914,2,3
1,20,96,3.1786,1,2
1,20,96,16.127,2,3
1,20,120,2.602,1,2
1,20,120,12.821,2,3
1,20,144,11.278,2,3
1,21,0,92.354,2,3
1,21,0.5,4.6143,1,2
1,21,2,9.5263,1,2
1,21,6,12.058,1,2
1,21,12,10.322,1,2
1,21,12,73.885,2,3
1,21,24,9.3054,1,2
1,21,24,46.18,2,3
1,21,36,24.41,2,3
1,21,48,6.2984,1,2
1,21,48,23.235,2,3
1,21,72,3.5145,1,2
1,21,72,21.768,2,3
1,21,96,2.2535,1,2
1,21,96,33.937,2,3
1,21,120,1.5655,1,2
1,21,120,45.892,2,3
1,21,144,53.765,2,3
1,22,0,93.465,2,3
1,22,0.5,9.4547,1,2
1,22,2,15.872,1,2
1,22,6,11.132,1,2
1,22,12,9.8303,1,2
1,22,12,32.793,2,3
1,22,24,6.9283,1,2
1,22,24,12.147,2,3
1,22,36,13.703,2,3
1,22,48,4.6358,1,2
1,22,48,9.1275,2,3
1,22,72,3.0727,1,2
1,22,72,20.344,2,3
1,22,96,1.5006,1,2
1,22,96,19.2,2,3
1,22,120,0.99308,1,2
1,22,120,32.45,2,3
1,22,144,32.558,2,3
1,23,0,105.83,2,3
1,23,0.5,8.2665,1,2
1,23,2,11.662,1,2
1,23,6,12.054,1,2
1,23,12,11.677,1,2
1,23,12,35.666,2,3
1,23,24,9.1177,1,2
1,23,24,4.4098,2,3
1,23,36,14.585,2,3
1,23,48,5.7276,1,2
1,23,48,5.3307,2,3
1,23,72,5.1571,1,2
1,23,72,14.961,2,3
1,23,96,3.5947,1,2
1,23,96,16.03,2,3
1,23,120,2.2888,1,2
1,23,120,18.909,2,3
1,23,144,36.035,2,3
1,24,0,101.58,2,3
1,24,0.5,4.5621,1,2
1,24,2,10.211,1,2
1,24,6,12.063,1,2
1,24,12,8.9865,1,2
1,24,12,50.458,2,3
1,24,24,7.1309,1,2
1,24,24,37.028,2,3
1,24,36,28.011,2,3
1,24,48,3.9919,1,2
1,24,48,31.682,2,3
1,24,72,2.2351,1,2
1,24,72,51.607,2,3
1,24,96,1.1958,1,2
1,24,96,51.39,2,3
1,24,120,0.63763,1,2
1,24,120,76.274,2,3
1,24,144,82.783,2,3
1,25,0,99.899,2,3
1,25,0.5,8.914,1,2
1,25,2,15.288,1,2
1,25,6,14.959,1,2
1,25,12,10.453,1,2
1,25,12,44.31,2,3
1,25,24,7.4855,1,2
1,25,24,27.59,2,3
1,25,36,21.999,2,3
1,25,48,3.8277,1,2
1,25,48,5.1202,2,3
1,25,72,1.9038,1,2
1,25,72,24.498,2,3
1,25,96,0.86978,1,2
1,25,96,23.503,2,3
1,25,120,0.46374,1,2
1,25,120,43.287,2,3
1,25,144,60.812,2,3
